Filename,SDS_Score,Is_SDS,Is_Scanned,Language,SDS_Confidence,Issue_Date,Date_Valid,Days_Until_Expiry,Status
"001-2022_01043784_sds_rsp5064s_04822050641_de_de_20190401.pdf",98,True,False,"German","Very High","01.04.2019",False,-1574,"EXPIRED (1574 days ago)"
"001-2023_01043948_kemstrip_015-sds-german-clp-europe.pdf",89,True,False,"German","High","17.10.2022",False,-279,"EXPIRED (279 days ago)"
"002-2020_01043566_IP9064-CAT-MAT - SDB.pdf",83,True,False,"German","High","07.08.2019",False,-1446,"EXPIRED (1446 days ago)"
"002-2020_01043566_SDB_IP9064-CAT - SDS10009 - 49.pdf",84,True,False,"German","High","24.09.2018",False,-1763,"EXPIRED (1763 days ago)"
"002-2021_01043694_Wasserstoffperoxid  35 10010014__MSDS__DE__DE__DE01.pdf",97,True,False,"German","Very High","09.02.2018",False,-1990,"EXPIRED (1990 days ago)"
"002-2023_01043949_A 96 SDB.pdf",89,True,False,"German","High","20.08.2018",False,-1798,"EXPIRED (1798 days ago)"
"003-2020_01043567.pdf",88,True,False,"German","High","10.04.2019",False,-1565,"EXPIRED (1565 days ago)"
"003-2021_01040685_document.reader_ger.pdf",101,True,False,"German","Very High","05.12.2017",False,-2056,"EXPIRED (2056 days ago)"
"003-2021_01040685_safety dowsil.pdf",101,True,False,"German","Very High","05.12.2017",False,-2056,"EXPIRED (2056 days ago)"
"003-2023_01043950_addicap_2_SDS_english-CLP-EUR.pdf",0,None,True,"Unknown (Scanned)","Unknown (Scanned)","",False,None,"No dates found"
"003-2024_01044094_Sicherheitsdatenblatt_PartA&B.pdf",96,True,False,"German","Very High","19.06.2023",False,-34,"EXPIRED (34 days ago)"
"003-2024_01044094_Sicherheitsdatenblatt_PartB.pdf",0,None,True,"Unknown (Scanned)","Unknown (Scanned)","",False,None,"No dates found"
"003-2025_10003196_1079863_Magnaflux a Divisio_Zyglo ZL-37_DE-de_v4_0.pdf",98,True,False,"German","Very High","02.04.2024",True,254,"Valid (254 days remaining)"
"004-1993_01016051_2124.PDF",0,None,True,"Unknown (Scanned)","Unknown (Scanned)","",False,None,"No dates found"
"004-2020_01043568_SDB.pdf",88,True,False,"German","High","18.04.2019",False,-1557,"EXPIRED (1557 days ago)"
"004-2021_01043695_Sicherheitsdatenblatt.pdf",0,None,True,"Unknown (Scanned)","Unknown (Scanned)","",False,None,"No dates found"
"004-2024_01044095_Sicherheitsdatenblatt_PartA&B.pdf",96,True,False,"German","Very High","03.08.2023",True,11,"Expires soon (in 11 days)"
"004-2025_10003867_1089074_Magnaflux, a Divisio_Zyglo ZL-27A_DE-de_v4_0.pdf",98,True,False,"German","Very High","10.04.2024",True,262,"Valid (262 days remaining)"
"004-2025_10003867_1320948_Magnaflux a Divisio_Zyglo ZL-27A Aerosol_CH-de_v4_0.pdf",99,True,False,"German","Very High","11.09.2024",True,416,"Valid (416 days remaining)"
"005-2020_01043569_SDB.pdf",90,True,False,"German","Very High","",False,None,"No dates found"
"005-2021_01043696_SDB.pdf",0,None,True,"Unknown (Scanned)","Unknown (Scanned)","",False,None,"No dates found"
"005-2024_01044096_SDS_Fastblock100_EN.pdf",87,True,False,"English","High","",False,None,"No dates found"
"005-2025_10002843_1079831_Magnaflux a Divisio_Magnaglo 14A_DE-de_v4_0.pdf",96,True,False,"German","Very High","02.04.2024",True,254,"Valid (254 days remaining)"
"006-2020_01043570_DE-ZYGLOZL-2CCLPSDSVER17-2-22-08-2018.pdf",99,True,False,"German","Very High","22.08.2018",False,-1796,"EXPIRED (1796 days ago)"
"006-2021_01043698_01 Sparvar Acrylharzlack 2021 CLP DE.pdf",120,True,False,"German","Very High","01.01.2021",False,-933,"EXPIRED (933 days ago)"
"006-2022_01043729_MOBIL SHC 626 - SDB.pdf",85,True,False,"German","High","18.12.2020",False,-947,"EXPIRED (947 days ago)"
