CAS_No,EC_No,Substance_Name,MLC132_Entry,MLC132_Status_by_ROW,MLC132_Details,Policy Specific Requirements,Consider_Specific_Details
17068-78-9,,Anthophyllite,Asbestos (all forms),PROHIBITED SUBSTANCES,Shall not be used,Shall not be used in the external supply chain,N
12135-86-3,,Antigorite,Asbestos (all forms),PROHIBITED SUBSTANCES,Shall not be used,Shall not be used in the external supply chain,N
17787-87-0,,Riebeckite,Asbestos (all forms),PROHIBITED SUBSTANCES,Shall not be used,Shall not be used in the external supply chain,N
14567-61-4,,Grunerite,Asbestos (all forms),PROHIBITED SUBSTANCES,Shall not be used,Shall not be used in the external supply chain,N
13768-00-8,,Actinolite,Asbestos (all forms),PROHIBITED SUBSTANCES,Shall not be used,Shall not be used in the external supply chain,N
132207-33-1,,Crocidolite,Asbestos (all forms),PROHIBITED SUBSTANCES,Shall not be used,Shall not be used in the external supply chain,N
1332-21-4,,Asbestos,Asbestos (all forms),PROHIBITED SUBSTANCES,Shall not be used,Shall not be used in the external supply chain,N
12001-28-4,,Crocidolite,Asbestos (all forms),PROHIBITED SUBSTANCES,Shall not be used,Shall not be used in the external supply chain,N
12172-73-5,,Amosite,Asbestos (all forms),PROHIBITED SUBSTANCES,Shall not be used,Shall not be used in the external supply chain,N
77536-67-5,,Anthophyllite,Asbestos (all forms),PROHIBITED SUBSTANCES,Shall not be used,Shall not be used in the external supply chain,N
77536-66-4,,Actinolite,Asbestos (all forms),PROHIBITED SUBSTANCES,Shall not be used,Shall not be used in the external supply chain,N
77536-68-6,,Tremolite,Asbestos (all forms),PROHIBITED SUBSTANCES,Shall not be used,Shall not be used in the external supply chain,N
12001-29-5,,Chrysotile,Asbestos (all forms),PROHIBITED SUBSTANCES,Shall not be used,Shall not be used in the external supply chain,N
12172-67-7,,Actinolite,Asbestos (all forms),PROHIBITED SUBSTANCES,Shall not be used,Shall not be used in the external supply chain,N
132207-32-0,,Chrysotile,Asbestos (all forms),PROHIBITED SUBSTANCES,Shall not be used,Shall not be used in the external supply chain,N
84303-49-1,,"1,1'-Biphenyl,2,2',3,4',5,5',6-heptabromo",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
82865-92-7,,"2,2',3,3',4,5,5'-heptabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
79682-25-0,,"2,3,3',4,4',5,6-heptabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
69278-60-0,,"2,2',3,3',4,4',5-heptabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
69278-62-2,,"2,2',3,3',4,4',5,5',6-Nonabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
69887-11-2,,"2,2,3,3,4,5,5,6-Octabromo-1,1-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
67889-00-3,,"1,1-Biphenyl, 2,2,3,3,4,4,5,5-octabromo",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
67733-52-2,,"2,2',3,4,4',5,5'-heptabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
59080-41-0,,"2,2',3,3',5,5',6,6'-octabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
119264-54-9,,"2,2',3,3',5,5',6-heptabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
119264-57-2,,"2,2',3,4,5,6,6'-heptabromobiphenyl ",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
119264-58-3,,"1,1'-Biphenyl,2,2',3,4',5,6,6'-heptabromo-",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
119264-59-4,,"2,2',3,3',4,4',6,6'-octabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
119264-60-7,,"2,2',3,3',4,5',6,6'-octabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
119264-61-8,,"1,1'-Biphenyl,2,2',3,4,4',5,6,6'-octabromo-",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
119264-62-9,,"1,1'-Biphenyl,2,2',3,3',4,4',5,6,6'-nonabromo",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
119264-63-0,,"1,1'-Biphenyl,2,2',3,3',4,5,5',6,6'-nonabromo",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
39282-95-6,,Decabromobiphenyl,Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
69278-61-1,,"1,1'-Biphenyl,2,2',3,3',4,4',5,6'-octabromo-",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
88700-04-3,,"2,2',3,3',4,5,6'-heptabromobiphenyl ",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
88700-06-5,,"2,3,3',4,4',5,5'-Heptabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
119264-56-1,,"1,1'-Biphenyl,2,2',3,4,4',6,6'-heptabromo-) ",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
119264-55-0,,"1,1'-Biphenyl,2,2',3,4,4',5,6'-heptabromo-",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
2052-07-05 00:00:00,218-141-3,2-Bromobiphenyl,Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
73141-48-7,,"2,2',3,4',5'-pentabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
77910-04-4,,"2,2',3,4,6-pentabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
88700-05-4,,"2,2',3,5',6-pentabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
81397-99-1,,"2,2',4,4',5-pentabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
97038-97-6,,"2,2',4,4',6-pentabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
66115-57-9,,"2,2',4,4'-tetrabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
67888-96-4,,"Pentabromobiphenyl; 2,2',4,5,5'-Pentabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
59080-39-6,,"2,2',4,5',6-pentabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
80274-92-6,,"2,2',4,5,6'-pentabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
60044-24-8,,"Tetrabromobiphenyl; 2,2',4,5'-Tetrabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
97063-75-7,,"2,2',4,6,6'-pentabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
97038-95-4,,"2,2',4,6'-tetrabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
59080-37-4,,"2,2',5,5'-tetrabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
60044-25-9,,"2,2',5,6'-tetrabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
59080-34-1,,"2,2',5-Tribromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
97038-96-5,,"2,2',6,6'-tetrabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
13029-09-9,,"2,2'-dibromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
96551-70-1,,"2,3,4,4',5-pentabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
74114-77-5,,"2',3,4,4',5-pentabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
84303-45-7,,"2,3',4,4'-tetrabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
38421-62-4,,"2,3,4,5,6-pentabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
59080-38-5,,"2,3',4',5-tetrabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
59080-35-2,,"2,3',5-tribromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
49602-90-6,,"2,3'-dibromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
64258-02-2,,"2,4,4',6-tetrabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
59080-36-3,,"2,4',5-tribromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
59080-33-0,,"2,4,6-tribromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
64258-03-3,,"2,4',6-tribromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
49602-91-7,,"2,4'-dibromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
53592-10-2,,"2,4-dibromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
57422-77-2,,"2,5-dibromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
59080-32-9,,"2,6-dibromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
77102-82-0,,"3,3',4,4'-tetrabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
97038-98-7,,"3,3',4,5'-tetrabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
16400-50-3,,"3,3',5,5'-tetrabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
16400-51-4,,"3,3'-dibromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
59589-92-3,,"3,4,4',5-tetrabromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
57186-90-0,,"3,4'-dibromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
60108-72-7,,"3,4-dibromo-1,1'-biphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
36402-15-0,,"2,2',4,4',5,6'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
55066-76-7,,"2,2',3,3',5,5'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
59261-08-4,,"2,2',4,4',6,6'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
60044-26-0,,"3,3',4,4',5,5'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
67888-98-6,,"2,2',3,4,4',5'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
67888-99-7,,"2,3',4,4',5,5'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
69278-59-7,,"2,2',3,4',5',6-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
77607-09-1,,"2,3,3',4,4',5-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
81381-52-4,,"2,2',3,4,4',5-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
82865-89-2,,"2,2',3,3',4,4'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
82865-90-5,,"2,2',3,3',4,5'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
82865-91-6,,"2,3,3',4',5',6-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
84303-47-9,,"2,3,3',4,4',5'-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
84303-48-0,,"2,3',4,4',5',6-Hexabromobiphenyl",Polybrominated Biphenyls (PBBs),PROHIBITED SUBSTANCES,Shall not be used,,N
